Site ID,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Old site ID (legacy),Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
ML0474,Campbell Road,Tower Hamlets,02 Inner,03 Minor Road,474,INNCY211,537451.0968,182568.9094,51.525306,-0.020066665
ML0475,Drayton Park,Islington,02 Inner,03 Minor Road,475,INNCY212,531454.1505,185633.4522,51.554276,-0.10531654
ML0476,Wapping High Street,Tower Hamlets,02 Inner,03 Minor Road,476,INNCY213,535126.8223,180311.5556,51.505584,-0.054424515
ML0477,Stoke Newington Church Street,Hackney,02 Inner,03 Minor Road,477,INNCY214,532781.5394,186342.1894,51.560337,-0.085919992
ML0478,Lauriston Road,Hackney,02 Inner,03 Minor Road,478,INNCY215,535666.915,183990.6725,51.538515,-0.045233511
ML0479,Plumbers Row,Tower Hamlets,02 Inner,03 Minor Road,479,INNCY216,534234.7726,181558.2887,51.517003,-0.066794696
ML0480,Surrey Quays Road,Southwark,02 Inner,03 Minor Road,480,INNCY217,535803.6593,179156.9161,51.495043,-0.04512023
ML0481,Brixton Water Lane,Lambeth,02 Inner,03 Minor Road,481,INNCY218,530859.9289,174630.9117,51.455535,-0.11797235
ML0482,Peckham Rye,Southwark,02 Inner,03 Minor Road,482,INNCY219,534610.7969,175437.6208,51.461908,-0.063710988
ML0483,Wickham Road,Lewisham,02 Inner,03 Minor Road,483,INNCY220,537036.3949,176326.4063,51.469315,-0.028466987
ML0484,Sydenham Hill,Southwark,02 Inner,03 Minor Road,484,INNCY221,534063.2836,172109.4334,51.432131,-0.072839762
ML0485,Gipsy Road,Lambeth,02 Inner,03 Minor Road,485,INNCY222,532959.3359,171502.2572,51.426936,-0.088939336
ML0486,Blackshaw Road,Wandsworth,02 Inner,03 Minor Road,486,INNCY223,527107.5522,170997.5117,51.423739,-0.17324705
ML0487,Aboyne Road,Wandsworth,02 Inner,03 Minor Road,487,INNCY224,526607.5222,172386.2842,51.436334,-0.17993851
ML0488,Beaufort Street,Kensington & Chelsea,02 Inner,03 Minor Road,488,INNCY225,526732.8471,177787.3881,51.484844,-0.17620724
ML0489,Plough Road,Wandsworth,02 Inner,03 Minor Road,489,INNCY226,526772.9923,175419.7659,51.463554,-0.17648031
ML0490,Elgin Avenue,Westminster,02 Inner,03 Minor Road,490,INNCY227,525454.9616,182411.0046,51.526685,-0.19295974
ML0491,Salusbury Road,Brent,02 Inner,03 Minor Road,491,INNCY228,524305.732,183872.6962,51.540069,-0.2089987
ML0492,Ebury Bridge,Westminster,02 Inner,03 Minor Road,492,INNCY229,528623.9838,178439.6514,51.490277,-0.14875106
ML0493,Prince of Wales Road,Camden,02 Inner,03 Minor Road,493,INNCY230,528615.4667,184685.4236,51.54641,-0.14658892
ML0494,Hazellville Road,Islington,02 Inner,03 Minor Road,494,INNCY231,530002.5333,187302.8344,51.569611,-0.12563126
ML0495,Riversdale Road,Islington,02 Inner,03 Minor Road,495,INNCY232,532319.9479,186331.2325,51.560346,-0.092584875
ML0496,Wapping Lane,Tower Hamlets,02 Inner,03 Minor Road,496,INNCY233,534827.8564,180557.1453,51.507866,-0.058636042
ML0497,St. James's Road,Southwark,02 Inner,03 Minor Road,497,INNCY234,534354.8702,179285.9092,51.496548,-0.065931464
ML0498,Leigham Court Road,Lambeth,02 Inner,03 Minor Road,498,INNCY235,530349.1144,172579.6089,51.43722,-0.12606316
ML0499,Asylum Road,Southwark,02 Inner,03 Minor Road,499,INNCY236,534935.2235,177128.8167,51.477027,-0.058390536
ML0500,Emmanuel Road,Lambeth,02 Inner,03 Minor Road,500,INNCY237,529665.0135,173114.9656,51.442185,-0.13570246
ML0501,Prince of Wales Drive,Wandsworth,02 Inner,03 Minor Road,501,INNCY238,527849.4015,176717.3944,51.474977,-0.16051611
ML0502,Fernhead Road,Westminster,02 Inner,03 Minor Road,502,INNCY239,524751.0725,183027.6181,51.532376,-0.20287021
ML0503,West Heath Road,Camden,02 Inner,03 Minor Road,503,INNCY240,525984.2121,186308.9189,51.561589,-0.18393001
ML0504,Bramley Road,Kensington & Chelsea,02 Inner,03 Minor Road,504,INNCY241,523766.9585,180867.8864,51.513181,-0.21782146
ML0505,Tollington Park,Islington,02 Inner,03 Minor Road,505,INNCY242,530882.7101,187055.5852,51.567187,-0.11303328
ML0506,Englefield Road,Hackney,02 Inner,03 Minor Road,506,INNCY243,533163.2692,184400.4552,51.542795,-0.081147167
ML0507,North Road,Islington,02 Inner,03 Minor Road,507,INNCY244,530379.6212,185042.5814,51.549214,-0.12103206
ML0508,Waterden Road,Hackney,02 Inner,03 Minor Road,508,INNCY245,537333.8355,185014.0495,51.547314,-0.020813228
ML0509,Marsh Wall,Tower Hamlets,02 Inner,03 Minor Road,509,INNCY246,537884.9766,179761.4131,51.499976,-0.014925965
ML0510,Lawrie Park Road,Bromley,02 Inner,03 Minor Road,510,INNCY247,534931.4061,170798.2588,51.420144,-0.060859718
ML0511,Herne Hill Road,Lambeth,02 Inner,03 Minor Road,511,INNCY248,532053.5994,175739.9842,51.465224,-0.10038376
ML0512,Munster Road,Hammersmith & Fulham,02 Inner,03 Minor Road,512,INNCY249,524190.2847,177323.4909,51.481238,-0.2129606
ML0513,Queens Road,Merton,02 Inner,03 Minor Road,513,INNCY250,525951.5781,171102.3317,51.42494,-0.18982721
ML0514,Bow Common Lane (bridge over Limehouse Cut),Tower Hamlets,02 Inner,03 Minor Road,514,INNCY592,537369,181594,51.516573,-0.021627283
ML0515,Market Road,Islington,02 Inner,03 Minor Road,515,INNCY593,530082.3207,184600.298,51.54531,-0.12547628
ML0516,Grange Grove,Islington,02 Inner,03 Minor Road,516,INNCY594,532069.2733,184606.4762,51.544903,-0.096836303
ML0517,Brenchley Gardens,Southwark,02 Inner,03 Minor Road,517,INNCY595,535892.7967,174870.3231,51.456507,-0.045486073
ML0518,Akerman Road,Lambeth,02 Inner,03 Minor Road,518,INNCY596,531561.9959,176362.9759,51.470937,-0.10723064
ML0519,Augustus Road,Wandsworth,02 Inner,03 Minor Road,519,INNCY597,524704.1828,173281.0281,51.444799,-0.20698683
ML0520,Poplar High Street,Tower Hamlets,02 Inner,03 Minor Road,520,CSHCY026,537740.12,180754.51,51.508935,-0.016611765
ML0521,Narrow Street,Tower Hamlets,02 Inner,03 Minor Road,521,CSHCY028,536280.29,180807.18,51.509765,-0.037615999
ML0522,De Beauvoir Road,Hackney,02 Inner,03 Minor Road,522,CSHCY133,533155.68,183866.04,51.537998,-0.081464291
ML0523,Surrey Canal Road,Lewisham,02 Inner,03 Minor Road,523,QWPCY010,535865.87,177962.47,51.484299,-0.044686795
ML0524,Powerscroft Road,Hackney,02 Inner,03 Minor Road,524,QWPCY028,535337.62,185687.63,51.553844,-0.049322249
ML0525,Maygrove Road,Camden,02 Inner,03 Minor Road,525,QWPCY039,525121.62,184765.87,51.547914,-0.19692156
ML0526,Calton Avenue,Southwark,02 Inner,03 Minor Road,526,QWPCY055,533263.41,174351.63,51.452467,-0.083497853
ML0527,Turney Road,Southwark,02 Inner,03 Minor Road,527,QWPCY056,532755.52,173887.34,51.448417,-0.090978452
ML0528,College Road,Southwark,02 Inner,03 Minor Road,528,QWPCY057,533167.76,173460.16,51.444483,-0.085213648
ML0529,Rosendale Road,Lambeth,02 Inner,03 Minor Road,529,QWPCY058,532297.63,173379.24,51.443958,-0.097755126
ML0530,Rosendale Road South,Lambeth,02 Inner,03 Minor Road,530,QWPCY059,532571.08,172545.3,51.4364,-0.094126882
ML0531,College Road (south),Southwark,02 Inner,03 Minor Road,531,QWPCY061,533320.6,172914.21,51.43954,-0.083218866
ML0532,Alleyn Park,Southwark,02 Inner,03 Minor Road,532,QWPCY062,533170.67,171971.82,51.431101,-0.085730033
ML0533,College Road Sydenham Hill,Southwark,02 Inner,03 Minor Road,533,QWPCY063,533713.58,172024.97,51.43145,-0.077903664
ML0534,Parnell Road,Tower Hamlets,02 Inner,03 Minor Road,534,QWPCY070,536789.18,183929.93,51.537696,-0.029074986
ML0535,Magdalen Road,Wandsworth,02 Inner,03 Minor Road,535,QWPCY103,526429.13,173291.52,51.444507,-0.18217505
ML0536,Queens Road,Merton,02 Inner,03 Minor Road,536,QWPCY107,524942.25,170612.56,51.42076,-0.20450464
ML0537,Prebend Street,Islington,02 Inner,03 Minor Road,537,QWPCY129,532125.45,183666.85,51.536443,-0.096381748
ML0538,Hamilton Terrace,Westminster,02 Inner,04 Local Street,538,INNCY251,526466.2761,182582.1956,51.527996,-0.17831821
ML0539,Derry Street,Kensington & Chelsea,02 Inner,04 Local Street,539,INNCY252,525663.7595,179543.0156,51.500864,-0.19096999
ML0540,Coningham Road,Hammersmith & Fulham,02 Inner,04 Local Street,540,INNCY253,522567.7885,180046.9014,51.506064,-0.2353763
ML0541,Fellows Road,Camden,02 Inner,04 Local Street,541,INNCY254,527612.9909,184480.1024,51.544795,-0.16111979
ML0542,Addison Avenue,Kensington & Chelsea,02 Inner,04 Local Street,542,INNCY255,524187.267,180078.1524,51.505998,-0.21203529
ML0543,Lowndes Street,Kensington & Chelsea,02 Inner,04 Local Street,543,INNCY256,527978.3461,179378.9926,51.498862,-0.15769604
ML0544,Marloes Road,Kensington & Chelsea,02 Inner,04 Local Street,544,INNCY257,525592.349,178907.2276,51.495164,-0.19221851
ML0545,Addison Gardens,Kensington & Chelsea,02 Inner,04 Local Street,545,INNCY258,523985.8813,179644.9564,51.502142,-0.21509671
ML0546,Maitland Park Road,Camden,02 Inner,04 Local Street,546,INNCY259,527966.8359,184667.7587,51.546396,-0.15594971
ML0547,Northwood Road,Haringey,02 Inner,04 Local Street,547,INNCY260,528991.3755,187828.9638,51.574569,-0.14001746
ML0548,Lyncroft Gardens,Camden,02 Inner,04 Local Street,548,INNCY261,525454.7472,185460.5717,51.554086,-0.19187403
ML0549,Wakeman Road,Brent,02 Inner,04 Local Street,549,INNCY262,523361.5736,182732.3827,51.53003,-0.22300251
ML0550,Brackenbury Road,Hammersmith & Fulham,02 Inner,04 Local Street,550,INNCY263,522776.7102,179470.0565,51.500842,-0.23256674
ML0551,Boltons Place,Kensington & Chelsea,02 Inner,04 Local Street,551,INNCY264,526055.8452,178390.0756,51.490415,-0.18573698
ML0552,Croftdown Road,Camden,02 Inner,04 Local Street,552,INNCY265,528667.6002,186282.9963,51.56075,-0.14525575
ML0553,Trussley Road,Hammersmith & Fulham,02 Inner,04 Local Street,553,INNCY266,523238.3676,179250.9092,51.498764,-0.22599094
ML0554,Malvern Road,Brent,02 Inner,04 Local Street,554,INNCY267,525008.0875,182937.414,51.531511,-0.19919895
ML0555,The Approach,Ealing,02 Inner,04 Local Street,555,INNCY268,520965.262,181134.3601,51.516187,-0.25807437
ML0556,York Gate,Westminster,02 Inner,04 Local Street,556,INNCY269,528259.9561,182116.409,51.523404,-0.15265502
ML0557,Kensal Road,Kensington & Chelsea,02 Inner,04 Local Street,557,INNCY270,524064.7536,182331.8273,51.526273,-0.21301435
ML0558,Park Village East,Camden,02 Inner,04 Local Street,558,INNCY271,529002.6877,183062.2582,51.531737,-0.14160525
ML0559,Dalmeny Road,Islington,02 Inner,04 Local Street,559,INNCY272,529754.2085,185729.6747,51.555532,-0.12978761
ML0560,Northchurch Road,Islington,02 Inner,04 Local Street,560,INNCY273,532789.9411,184311.7106,51.542083,-0.086570659
ML0561,Churchill Place,Tower Hamlets,02 Inner,04 Local Street,561,INNCY274,537939.9547,180244.6548,51.504303,-0.013945403
ML0562,Highbury Hill,Islington,02 Inner,04 Local Street,562,INNCY275,531439.936,186056.1812,51.558081,-0.10537481
ML0563,Hanbury Street,Tower Hamlets,02 Inner,04 Local Street,563,INNCY276,534071.372,181882.306,51.519953,-0.069019292
ML0564,Hassett Road,Hackney,02 Inner,04 Local Street,564,INNCY277,536190.0559,184867.3015,51.54627,-0.037343675
ML0565,Wolseley Street,Southwark,02 Inner,04 Local Street,565,INNCY278,534020.6814,179714.5465,51.500483,-0.070577219
ML0566,Newell Street,Tower Hamlets,02 Inner,04 Local Street,566,INNCY279,536747.6117,180886.4311,51.510362,-0.030860248
ML0567,Rotherhithe Street,Southwark,02 Inner,04 Local Street,567,INNCY280,536511.1021,179595.6805,51.498818,-0.034758087
ML0568,Three Mill Lane,Tower Hamlets,02 Inner,04 Local Street,568,INNCY281,538238.599,182796.9342,51.527163,-0.008640186
ML0569,Ottaway Street,Hackney,02 Inner,04 Local Street,569,INNCY282,534237.3451,186088.582,51.55771,-0.065025709
ML0570,Lagado Mews,Southwark,02 Inner,04 Local Street,570,INNCY283,535791,180212,51.504536,-0.044886905
ML0571,Goldington Crescent,Camden,02 Inner,04 Local Street,571,INNCY284,529647.0722,183435.4414,51.534941,-0.13217455
ML0572,Vartry Road,Haringey,02 Inner,04 Local Street,572,INNCY285,533177.1704,188073.0039,51.575799,-0.079555413
ML0573,Downs Park Road,Hackney,02 Inner,04 Local Street,573,INNCY286,534668.3309,185528.2923,51.552575,-0.059026613
ML0574,Mastmaker Road,Tower Hamlets,02 Inner,04 Local Street,574,INNCY287,537464.4373,179820.956,51.500609,-0.020949962
ML0575,Kerbey Street,Tower Hamlets,02 Inner,04 Local Street,575,INNCY288,537780.5117,181169.43,51.512654,-0.015873724
ML0576,Pendennis Road,Lambeth,02 Inner,04 Local Street,576,INNCY289,530198.6503,171993.4766,51.431989,-0.12844959
ML0577,Aldebert Terrace,Lambeth,02 Inner,04 Local Street,577,INNCY290,530501.8295,177040.6119,51.477275,-0.12223305
ML0578,Leigham Vale,Lambeth,02 Inner,04 Local Street,578,INNCY291,530932.535,172268.178,51.434291,-0.1177953
ML0579,Brayards Road,Southwark,02 Inner,04 Local Street,579,INNCY292,534762.8193,176242.8203,51.469106,-0.061217724
ML0580,Breakspears Road,Lewisham,02 Inner,04 Local Street,580,INNCY293,537067.4541,176009.3971,51.466459,-0.028143781
ML0581,Crystal Palace Park (Sydenham),Bromley,02 Inner,04 Local Street,581,INNCY294,534728.0252,171083.857,51.422753,-0.063669152
ML0582,John Ruskin Street,Southwark,02 Inner,04 Local Street,582,INNCY295,531775.188,177388.193,51.480107,-0.10376904
ML0583,Fawnbrake Avenue,Lambeth,02 Inner,04 Local Street,583,INNCY296,531928.9094,174814.5091,51.45694,-0.10252698
ML0584,McNeil Road,Southwark,02 Inner,04 Local Street,584,INNCY297,533104.8035,176239.6612,51.469471,-0.085074717
ML0585,Dulwich Park (Court Lane Gate),Southwark,02 Inner,04 Local Street,585,INNCY298,533669.1779,173835.8493,51.447734,-0.077853081
ML0586,Leander Road,Lambeth,02 Inner,04 Local Street,586,INNCY299,530955.7118,174468.5282,51.454057,-0.11665137
ML0587,Elmira Street,Lewisham,02 Inner,04 Local Street,587,INNCY300,537889.2805,175564.3445,51.462261,-0.016491099
ML0588,Bellenden Road,Southwark,02 Inner,04 Local Street,588,INNCY301,534046.0597,176655.4921,51.472987,-0.071363192
ML0589,Lambert Road,Lambeth,02 Inner,04 Local Street,589,INNCY302,530339.8552,174664.9519,51.45596,-0.12543973
ML0590,Spa Road,Southwark,02 Inner,04 Local Street,590,INNCY303,534123.992,179234.284,51.496145,-0.069276509
ML0591,Lots Road,Kensington & Chelsea,02 Inner,04 Local Street,591,INNCY304,526281.9165,176981.6088,51.477702,-0.1829869
ML0592,Ravensbury Road,Merton,02 Inner,04 Local Street,592,INNCY305,525476.0854,172823.1291,51.440512,-0.19604639
ML0593,Culvert Road,Wandsworth,02 Inner,04 Local Street,593,INNCY306,528067.9864,176263.4644,51.470848,-0.1575433
ML0594,Keswick Road,Wandsworth,02 Inner,04 Local Street,594,INNCY307,524451.6613,174765.2732,51.458191,-0.21010388
ML0595,Telegraph Road (by Tibbet's Corner),Wandsworth,02 Inner,04 Local Street,595,INNCY308,523242.2016,173722.4117,51.449082,-0.22785967
ML0596,Montague Road,Merton,02 Inner,04 Local Street,596,INNCY309,525512.4627,170413.8388,51.418846,-0.1963818
ML0597,Star Road,Hammersmith & Fulham,02 Inner,04 Local Street,597,INNCY310,524522.6183,177971.1056,51.486988,-0.20795377
ML0598,West Side Common,Merton,02 Inner,04 Local Street,598,INNCY311,523199.0799,171200.2537,51.426425,-0.22935485
ML0599,Battersea Park (Sun Gate),Wandsworth,02 Inner,04 Local Street,599,INNCY312,527666.254,176725.4721,51.47509,-0.16314675
ML0600,Ranelagh Gardens,Hammersmith & Fulham,02 Inner,04 Local Street,600,INNCY313,524536.6349,175823.9702,51.467681,-0.20850876
ML0601,Hazlewell Road,Wandsworth,02 Inner,04 Local Street,601,INNCY314,523496.7431,174912.671,51.459721,-0.22379127
ML0602,Devonshire Road,Merton,02 Inner,04 Local Street,602,INNCY315,527265.7089,170315.487,51.417574,-0.17122049
ML0603,Byegrove Road,Merton,02 Inner,04 Local Street,603,INNCY316,526698.7126,170615.2312,51.420397,-0.17926282
ML0604,Danebury Avenue,Wandsworth,02 Inner,04 Local Street,604,INNCY317,522311.4661,173765.7093,51.44967,-0.24123569
ML0605,Beechcroft Road,Wandsworth,02 Inner,04 Local Street,605,INNCY318,527230.5685,172979.4444,51.441524,-0.17076762
ML0606,Winslow Road,Hammersmith & Fulham,02 Inner,04 Local Street,606,INNCY319,523497.1141,178011.2441,51.487572,-0.22269477
ML0607,Embankment Putney,Wandsworth,02 Inner,04 Local Street,607,INNCY320,523896.3235,175827.0593,51.467857,-0.21771631
ML0608,Melville Road,Richmond upon Thames,02 Inner,04 Local Street,608,INNCY321,522141.3787,176685.3236,51.47595,-0.24267311
ML0609,Princes Way,Wandsworth,02 Inner,04 Local Street,609,INNCY322,523853.4986,173665.7979,51.448436,-0.21909148
ML0610,Grafton Road,Camden,02 Inner,04 Local Street,610,INNCY323,528244.6533,185383.6137,51.552767,-0.15168204
ML0611,Valletta Road,Ealing,02 Inner,04 Local Street,611,INNCY324,521565.2221,179880.549,51.504788,-0.24986358
ML0612,Sandall Road,Camden,02 Inner,04 Local Street,612,INNCY325,529482.2287,184659.8709,51.545978,-0.13410226
ML0613,Parliament Hill,Camden,02 Inner,04 Local Street,613,INNCY326,527349.0088,185716.3385,51.555962,-0.16446335
ML0614,Cambridge Gardens,Brent,02 Inner,04 Local Street,614,INNCY327,525369.7406,183273.4878,51.53445,-0.19387781
ML0615,Ladbroke Road,Kensington & Chelsea,02 Inner,04 Local Street,615,INNCY328,524709.5916,180368.8392,51.508489,-0.20441552
ML0616,Blythe Road,Hammersmith & Fulham,02 Inner,04 Local Street,616,INNCY329,524076.2637,179067.0718,51.496936,-0.21398905
ML0617,Harrington Gardens,Kensington & Chelsea,02 Inner,04 Local Street,617,INNCY330,525980.0566,178609.9527,51.4924,-0.18673858
ML0618,Avonmore Road,Hammersmith & Fulham,02 Inner,04 Local Street,618,INNCY331,524526.4853,178826.8906,51.494672,-0.20759485
ML0619,Old Church Street,Kensington & Chelsea,02 Inner,04 Local Street,619,INNCY332,526780.2232,178254.9843,51.489031,-0.17534879
ML0620,Lawn Road,Camden,02 Inner,04 Local Street,620,INNCY333,527542.2235,185256.7601,51.551785,-0.16184764
ML0621,Devonshire Terrace,Westminster,02 Inner,04 Local Street,621,INNCY334,526395.7148,180983.5233,51.513642,-0.17991417
ML0622,Chester Road,Camden,02 Inner,04 Local Street,622,INNCY335,528697.068,186635.0855,51.563916,-0.1446941
ML0623,Friars Place Lane,Ealing,02 Inner,04 Local Street,623,INNCY336,521067.0473,180678.7805,51.512067,-0.25676156
ML0624,Kingswood Avenue,Brent,02 Inner,04 Local Street,624,INNCY337,524367.4958,183345.1872,51.535319,-0.20829117
ML0625,Spanby Road,Tower Hamlets,02 Inner,04 Local Street,625,INNCY338,537301.8117,182176.7817,51.52182,-0.022380125
ML0626,Downs Road,Hackney,02 Inner,04 Local Street,626,INNCY339,534123.5715,185836.4641,51.555472,-0.066765179
ML0627,Craven Park Road,Haringey,02 Inner,04 Local Street,627,INNCY340,534122.0379,188217.8924,51.576869,-0.065871783
ML0628,St. Peter's Street,Islington,02 Inner,04 Local Street,628,INNCY341,531759.6548,183622.108,51.536133,-0.10167216
ML0629,Malcolm Road,Tower Hamlets,02 Inner,04 Local Street,629,INNCY342,535159.885,182441.6559,51.524717,-0.05313334
ML0630,Fairbridge Road,Islington,02 Inner,04 Local Street,630,INNCY343,529725.1529,186715.5525,51.564399,-0.1298422
ML0631,Glyn Road,Hackney,02 Inner,04 Local Street,631,INNCY344,535882.2265,185650.1475,51.55338,-0.0414805
ML0632,Southwold Road,Hackney,02 Inner,04 Local Street,632,INNCY345,534837.2805,186582.1007,51.562006,-0.056186772
ML0633,Moray Road,Islington,02 Inner,04 Local Street,633,INNCY346,531076.6009,187060.4038,51.567187,-0.11023403
ML0634,Barrington Road,Lambeth,02 Inner,04 Local Street,634,INNCY347,531734.0456,175902.5277,51.466763,-0.10491262
ML0635,Lyham Road,Lambeth,02 Inner,04 Local Street,635,INNCY348,530282.5603,174055.9663,51.4505,-0.12648373
ML0636,Ferndale Road,Lambeth,02 Inner,04 Local Street,636,INNCY349,530870.4496,175549.8786,51.463791,-0.11747432
ML0637,Spring Hill,Lewisham,02 Inner,04 Local Street,637,INNCY350,535298.7648,171715.0063,51.428297,-0.055235097
ML0638,Lynton Road,Southwark,02 Inner,04 Local Street,638,INNCY351,534076.0717,178544.2115,51.489955,-0.070215038
ML0639,Radbourne Road,Lambeth,02 Inner,04 Local Street,639,INNCY352,529556.525,173499.1756,51.44567,-0.13712913
ML0640,Poplar Walk,Lambeth,02 Inner,04 Local Street,640,INNCY353,532199.5617,175237.628,51.460678,-0.09847075
ML0641,Manor Place,Southwark,02 Inner,04 Local Street,641,INNCY354,532155.0219,178376.5595,51.488897,-0.097930671
ML0642,Telford Avenue,Lambeth,02 Inner,04 Local Street,642,INNCY355,530368.21,173128.0319,51.44215,-0.12558798
ML0643,Crystal Palace Road,Southwark,02 Inner,04 Local Street,643,INNCY356,534078.5782,175317.5951,51.460956,-0.071409795
ML0644,St. Julian's Farm Road,Lambeth,02 Inner,04 Local Street,644,INNCY357,531820.3961,171850.0777,51.430329,-0.10518339
ML0645,Landor Road,Lambeth,02 Inner,04 Local Street,645,INNCY358,530617.4087,175983.6245,51.467749,-0.12095402
ML0646,Avondale Rise,Southwark,02 Inner,04 Local Street,646,INNCY359,533561.7365,175793.7988,51.465355,-0.078667571
ML0647,Auckland Hill,Lambeth,02 Inner,04 Local Street,647,INNCY360,532196.4781,171920.6275,51.430871,-0.099751796
ML0648,Stewart's Road,Wandsworth,02 Inner,04 Local Street,648,INNCY361,529114.3671,176925.6148,51.47656,-0.14223589
ML0649,Link Road,Merton,02 Inner,04 Local Street,649,INNCY362,528206.2231,170568.6645,51.419636,-0.15760425
ML0650,Bagleys Lane,Hammersmith & Fulham,02 Inner,04 Local Street,650,INNCY363,525901.679,176646.2348,51.474776,-0.18857511
ML0651,Brayburne Avenue,Lambeth,02 Inner,04 Local Street,651,INNCY364,529352.9544,176197.1134,51.469963,-0.13907705
ML0652,Wildcroft Road,Wandsworth,02 Inner,04 Local Street,652,INNCY365,523599.3941,174144.9808,51.452797,-0.22257758
ML0653,Sutherland Grove,Wandsworth,02 Inner,04 Local Street,653,INNCY366,524504.1411,174113.7997,51.45232,-0.20957071
ML0654,Brisbane Avenue,Merton,02 Inner,04 Local Street,654,INNCY367,525588.5811,169935.3658,51.414533,-0.1954586
ML0655,Australia Road,Hammersmith & Fulham,02 Inner,04 Local Street,655,INNCY368,522626.9386,180588.9062,51.510922,-0.23433833
ML0656,Sundew Avenue,Hammersmith & Fulham,02 Inner,04 Local Street,656,INNCY369,522267.8497,180918.7818,51.513965,-0.23939459
ML0657,St. Mark's Road,Kensington & Chelsea,02 Inner,04 Local Street,657,INNCY370,523772.52,181541.21,51.519237,-0.21749858
ML0658,Lennox Gardens,Kensington & Chelsea,02 Inner,04 Local Street,658,INNCY371,527565.8127,179090.3052,51.496367,-0.1637466
ML0659,Clarence Way,Camden,02 Inner,04 Local Street,659,INNCY372,528657.129,184419.8296,51.54401,-0.14608073
ML0660,Prince Consort Road,Westminster,02 Inner,04 Local Street,660,INNCY373,526770.0983,179477.3844,51.500024,-0.17505384
ML0661,Spring Place,Camden,02 Inner,04 Local Street,661,INNCY374,528552.7877,185042.8613,51.549633,-0.14736664
ML0662,Prebend Gardens,Hounslow,02 Inner,04 Local Street,662,INNCY375,521796.2982,178803.6272,51.495059,-0.24690842
ML0663,Scott's Road,Hammersmith & Fulham,02 Inner,04 Local Street,663,INNCY376,522815.5444,179707.8484,51.502963,-0.23192273
ML0664,Allen Street,Kensington & Chelsea,02 Inner,04 Local Street,664,INNCY377,525377.7878,179274.1526,51.49851,-0.19518369
ML0665,Hillgate Street,Kensington & Chelsea,02 Inner,04 Local Street,665,INNCY378,525168.1242,180386.7741,51.50855,-0.19779876
ML0666,Acacia Road,Westminster,02 Inner,04 Local Street,666,INNCY379,526965.1352,183492.875,51.536062,-0.17080101
ML0667,Cumberland Place,Camden,02 Inner,04 Local Street,667,INNCY380,528741.2698,182923.468,51.530547,-0.14541666
ML0668,Sedgeford Road,Hammersmith & Fulham,02 Inner,04 Local Street,668,INNCY381,521940.7434,180379.5162,51.509192,-0.24429087
ML0669,Lady Margaret Road,Camden,02 Inner,04 Local Street,669,INNCY382,529215.8638,185443.5066,51.553085,-0.13766284
ML0670,Hans Place,Kensington & Chelsea,02 Inner,04 Local Street,670,INNCY383,527765.5575,179187.0575,51.497194,-0.16083199
ML0671,Holland Park Road,Kensington & Chelsea,02 Inner,04 Local Street,671,INNCY384,524891.3952,179291.0777,51.49877,-0.20217538
ML0672,Dart Street,Westminster,02 Inner,04 Local Street,672,INNCY385,524487.7582,182822.9067,51.530592,-0.20674666
ML0673,Radnor Place,Westminster,02 Inner,04 Local Street,673,INNCY386,527018.0685,181219.5357,51.515623,-0.17085607
ML0674,Durham Terrace,Westminster,02 Inner,04 Local Street,674,INNCY387,525529.5217,181403.533,51.517609,-0.19223796
ML0675,Dartmouth Park Road,Camden,02 Inner,04 Local Street,675,INNCY388,528629.7141,185948.3521,51.557757,-0.1459257
ML0676,Rutland Gate,Westminster,02 Inner,04 Local Street,676,INNCY389,527239.5144,179569.3281,51.500745,-0.16826765
ML0677,Marlborough Place,Westminster,02 Inner,04 Local Street,677,INNCY390,526373.8737,183364.7916,51.535045,-0.17937777
ML0678,Elvaston Place,Kensington & Chelsea,02 Inner,04 Local Street,678,INNCY391,526423.0637,179233.5342,51.497909,-0.1801376
ML0679,Langler Road,Brent,02 Inner,04 Local Street,679,INNCY392,523507.1731,182933.3851,51.531805,-0.22082842
ML0680,Sirdar Road,Kensington & Chelsea,02 Inner,04 Local Street,680,INNCY393,524059.2954,180439.0691,51.50927,-0.21375174
ML0681,Ladbroke Square,Kensington & Chelsea,02 Inner,04 Local Street,681,INNCY394,524974.357,180630.6743,51.510785,-0.20050629
ML0682,Cumberland Street,Westminster,02 Inner,04 Local Street,682,INNCY395,528803.26,178435.32,51.4902,-0.14616132
ML0683,Milton Park,Haringey,02 Inner,04 Local Street,683,INNCY396,529031.3063,187784.7764,51.574165,-0.13945673
ML0684,The Fairway,Ealing,02 Inner,04 Local Street,684,INNCY397,521214.0814,181276.9593,51.517409,-0.25443884
ML0685,Courtfield Road,Kensington & Chelsea,02 Inner,04 Local Street,685,INNCY398,526044.1289,178727.8789,51.493446,-0.1857751
ML0686,Wilmot Place,Camden,02 Inner,04 Local Street,686,INNCY399,529160.6054,184411.442,51.543824,-0.13883421
ML0687,Lodge Road,Westminster,02 Inner,04 Local Street,687,INNCY400,526874.1922,182507.527,51.527231,-0.17246688
ML0688,Glenilla Road,Camden,02 Inner,04 Local Street,688,INNCY401,527197.0028,184805.5192,51.54781,-0.16698377
